code_qp,lib_qp
QN04915N,Saint Exupéry
QN05001I,La Turfaudière
QN05002I,Val Saint Jean
QN05003I,La Dollée
QN05004M,Claires Fontaines
QN05005I,Les Provinces
QN05006I,Maupas - Hautmarais - Brêche Du Bois
QN05007M,Fourches - Charcot
QN05101M,Quartier Prioritaire Ouest
QN05102M,Quartier Prioritaire Sud
QN05103M,Croix Rouge
QN05104M,Wilson - Maison Blanche - Chatillons
QN05105M,Orgeval
QN05106M,Europe
QN05107M,Walbaum
QN05108M,Epinettes - Maladrerie - Chemin Des Bouchers - Paul Petit
QN05109M,Le Hamois
QN05110I,Rome Saint Charles
QN05111M,Bernon - Vignes Blanches
QN05112N,Schmit
QN05113N,La Fauvarge
QN05201M,Rochotte
QN05202M,Cavalier
QN05203M,Quartier Neuf
QN05204I,Vert-Bois
QN05301M,Les Fourches
QN05302M,Kellermann
QN05303M,Pavement - Charité - Mortier - Murat
QN05401M,Mouzimpré
QN05402I,Gouraincourt - Remparts
QN05403I,Concorde
QN05404I,Quartier Voltaire
QN05405I,Val Saint Martin
QN05406M,Quartier Les Mouettes
QN05407M,Quartier La Penotte
QN05408I,Bois Le Prêtre - Procheville
QN05409I,Centre Ancien
QN05410I,Niederbronn - Zola
QN05411I,Quartier La Croix De Metz
QN05412I,La Californie
QN05413I,Les Provinces
QN05414M,Plateau De Haye - Champ Le Boeuf
QN05415M,Plateau De Haye Nancy - Maxéville
QN05416M,Haussonville - Les Nations
QN05417M,Saint Michel Jéricho - Grands moulins
QN05418I,Coeur De Ville
QN05501M,Côte Sainte-Catherine-Libération
QN05502I,Planchettes
QN05503M,Centre Verdun - Cité verte
QN05601M,Gumenen Goaner-Parco Pointer
QN05602M,Keriou Ker
QN05603M,Enezeg
QN05604M,Kervenanec Nord
QN05605M,Polygone Frebault
QN05606M,Bois du Château
QN05607M,Kerguillette - Petit Paradis - St Armel
QN05608M,Kercado
QN05609M,Ménimur
QN05701M,Quartier Saravis
QN05702M,La cité
QN05703M,Wiesberg Hommel
QN05704M,Bellevue
QN05705M,Quartier Rémelange
QN05706M,Quartier Ouest
QN05707M,Côtes des Roses - Bel Air
QN05708M,Quartier Saint-Pierre - La Milliaire
QN05709M,Quartier Terrasses Des Provinces
QN05710M,Beausoleil
QN05711I,Vieille Ville Et Ville Haute
QN05712M,La Chapelle
QN05713M,Quartier République
